id,language,true_label,model,strategy,prediction,confidence,explanation
0,Python,ai,gemini-2.5-flash,cot,human,9,"The code uses Python 2 print statements (e.g., 'print ""Path: %s"" % sys.argv[0]'), which is a distinctive language idiom reflecting human authorship from a specific development era, rather than modern AI-generated Python 3 code."
1,Python,ai,gemini-2.5-flash,cot,ai,7,"No human fingerprints were observed. The code uses generic placeholder names ('a', 'n', 'i', 'Foo') which are common in AI-generated examples or simplified demonstrations."
2,Python,ai,gemini-2.5-flash,cot,human,9,The code snippet displays idiosyncratic and inconsistent style by mixing Python function definition (`def sierpinski_carpet(n):`) with Ruby execution code (`4.times{|i| puts ...}`). This multi-language syntax within a single snippet is a strong human fingerprint.
3,Python,ai,gemini-2.5-flash,cot,ai,7,"No human fingerprints were observed. The code is structurally clean, stylistically uniform, and represents a standard solution to a common programming challenge without any discernible human quirks or artifacts."
4,Python,ai,gemini-2.5-flash,cot,human,9,"The code uses Python 2-specific syntax for the `print` statement (`print stem, '|', sorted(leaves)`) and integer division (`stem = datum / 10`), which are strong indicators of human authorship."
5,Python,ai,gemini-2.5-flash,cot,ai,7,"No human fingerprints such as idiosyncratic styling, experimental code, personal comments, or non-standard idioms were observed. The code is structurally clean, stylistically uniform, and serves as a direct demonstration of a library function with no extraneous elements, fitting the 'featureless default' of AI-generated code."
6,Python,ai,gemini-2.5-flash,cot,human,9,"The code snippet displays a strong idiosyncratic inconsistency by mixing Python's `try:`, `except IOError:`, `open()` function, and `print` statement directly within a Java class structure."
7,Python,ai,gemini-2.5-flash,cot,human,9,"The code contains non-breaking spaces ( ) within string literals in the print statements, an idiosyncratic stylistic choice. Additionally, the use of a module-level 'found_combo' flag modified by a recursive function is a distinctive human programming pattern."
8,Python,ai,gemini-2.5-flash,cot,ai,7,"No human fingerprints were observed. The code includes demonstration scaffolding with a list of example test cases within an 'if __name__ == ""__main__"":' block, which is a common AI pattern for providing immediate runnable examples."
9,Python,ai,gemini-2.5-flash,cot,human,8,"The code uses 'str' as a variable name, shadowing the built-in Python type, which is a common human mistake or quick-scripting choice that AI models typically avoid."
10,Python,ai,gemini-2.5-flash,cot,human,8,"The code contains a 'print(self.solution)' statement within the 'solve' method, characteristic of a human's quick verification or debugging output. Additionally, the class name 'HLPsolver' and the specific, large board data ('board1', 'board2') suggest a human-chosen abbreviation and real-world problem instances."
11,Python,ai,gemini-2.5-flash,cot,human,8,"The code contains a large-scale verification loop with an `assert` up to 1,000,000, which is characteristic of human testing/debugging efforts rather than standard AI demonstration. The comments also describe this verification process directly."
