id,language,true_label,model,strategy,prediction,confidence,explanation
0,Python,ai,claude-haiku,cot,human,8,"Python 2 print statement syntax ('print ""...""' without parentheses) indicates code from an older era, reflecting lived experience with legacy systems. The ad-hoc path extraction via string split is a pragmatic, unsophisticated approach typical of quick scripting rather than AI-generated pedagogical code."
1,Python,ai,claude-haiku,cot,ai,6,"No human fingerprints observed: no comments, version annotations, idiosyncratic style, debug artifacts, or distinctive idioms. The code is structurally clean and featureless. Weak AI markers present: placeholder-flavored variable names ('a', 'i', 'n') and minimalist pedagogical structure, but insufficient defensive patterns or scaffolding to strongly reinforce AI classification. Classified as AI by default due to absence of human fingerprints."
2,Python,ai,claude-haiku,cot,unknown,50,parse_error
3,Python,ai,claude-haiku,cot,ai,6,"No human fingerprints (comments, version annotations, idiosyncratic style, debug artifacts) detected. Code is structurally clean, stylistically uniform, and featureless — matching the default profile of AI-generated code for a canonical programming exercise."
4,Python,ai,claude-haiku,cot,human,7,"The code exhibits Python 2 syntax (print statement without parentheses on line 'print stem, ""|""' and integer division with '/' operator) without explanation or modernization, suggesting it was written before Python 3 migration — a temporal fingerprint of human authorship. Additionally, the variable naming ('stem', 'leaf', 'datum') reflects domain-specific stem-and-leaf plot terminology rather than generic placeholders, and the stem-leaf plot construction logic contains the kind of explicit boundary-handling (ensuring all stems exist) that emerges from debugging a real implementation."
5,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints observed: code lacks comments, version annotations, idiosyncratic style, debug artifacts, or informal markers. Multiple AI fingerprints present: demonstration scaffolding with example usage (hardcoded matrix A), pedagogical print statements restating what each line does, placeholder-flavored variable names (A, Q, R), and boilerplate structure showing linear execution with no error handling."
6,Python,ai,claude-haiku,cot,human,8,"Multiple human fingerprints present: (1) syntax errors mixing Java and Python (Java class structure with Python try/except and open() calls, colons instead of braces), suggesting debugging session or code written across language confusion; (2) incomplete error handling with bare 'print' statement; (3) hardcoded local file paths ('input.txt', 'output.txt') without explanation; (4) inconsistent and broken style indicating lived struggle rather than generated code."
7,Python,ai,claude-haiku,cot,human,7,"The code exhibits idiosyncratic patterns characteristic of manual authorship: the sieve() function is incomplete/broken (exits the outer while loop prematurely without fully populating primes), the variable naming mixes styles (c for array, p for prime, j/i for indices), and find_combo() uses a global found_combo flag in a non-standard way that reflects incremental debugging rather than clean design. The hardcoded test cases in __main__ and the awkward singular/plural handling ('s' vs ' ') suggest lived problem-solving rather than generated code."
8,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints observed. The code exhibits AI markers: pedagogical function naming ('canonicalize'), demonstration scaffolding with 'if __name__ == ""__main__"":', placeholder-style test data, and uniform defensive structure. The code is clean, stylistically consistent, and lacks debugging artifacts, version history, idiosyncratic habits, or personal annotations."
9,Python,ai,claude-haiku,cot,human,7,"The code uses a single-letter variable name 'str' (shadowing a built-in) and abbreviated 'arr' rather than descriptive names, showing practical/careless coding habits characteristic of interactive development. The paired redundant calls to 'os.popen(""ls"")' without explanation suggest experimental exploration or incremental testing rather than polished design."
10,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints detected. The code exhibits multiple AI markers: pedagogical docstring-like method names, exhaustive defensive structure with boundary checks, placeholder-flavored variable names ('i', 'x', 'y'), and demonstration scaffolding with two example usage blocks at the end. The style is uniformly clean and generic without idiosyncratic patterns or debug artifacts."
11,Python,ai,claude-haiku,cot,ai,6,"No human fingerprints observed: no version annotations, no idiosyncratic style inconsistencies, no commented-out experimental code, no personal comments or typos, no stack-overflow fragments or magic-number oddities. AI markers present include pedagogical comments restating what the code does ('first 22 values (as a list) has no squares'), demonstration scaffolding (main method with example usage and verification blocks), and uniform placeholder naming ('i', 'j', 'n'). The code is clean and structurally defensive but lacks the residue of lived debugging and iteration."
12,Python,ai,claude-haiku,cot,human,7,"The code exhibits idiosyncratic style and incomplete patterns characteristic of interactive development. The lowercase class names (cell, spec) and the function newSpec() (camelCase) are inconsistently styled. The snippet appears to be exploratory REPL-style code with commented examples ('# sort with all defaults', '# reverse sort') showing trial usage rather than production structure. There is no docstring, type hints, or defensive validation despite class definitions, suggesting ad-hoc authorship rather than AI-generated pedagogical code."
13,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints detected: code is stylistically uniform, contains no comments, debug artifacts, version annotations, or idiosyncratic patterns. Multiple AI markers present: pedagogical structure (hardcoded lists with no explanation), defensive scaffolding (the loop logic with backwards iteration), placeholder-style variable names (i, j, gifts, days), and demonstration-code aesthetics typical of tutorial or generated content."
14,Python,ai,claude-haiku,cot,human,7,"The code exhibits idiosyncratic style choices consistent with human authorship: redundant initialization (both self.start and self.start_time set to time.time() with no apparent reason), and Python 2 print statement (print x.v without parentheses) suggesting legacy code written before Python 3 migration. These are characteristic artifacts of lived debugging and evolving understanding rather than AI generation."
15,Python,ai,claude-haiku,cot,human,8,"Dated annotation '# July 2nd, 2015' is a clear human fingerprint indicating authorship history. The code also exhibits idiosyncratic style: cryptic single-letter variable names (p5, N, M, s, a, b, c, d, e) with no explanatory comments, a hardcoded magic constant M=30 without justification, and use of deprecated time.clock() suggesting code written for an older Python version and never modernized—all markers of lived, iterative development rather than AI generation."
16,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints detected. The code exhibits clear AI markers: pedagogical comments that restate what the immediately following lines do ('# get position of mouse cursor' before getMousePos(), '# get color of pixel at that position' before getPixelColor()). This pattern is characteristic of AI-generated explanation."
17,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints observed: code is stylistically uniform, lacks comments, debugging artifacts, or idiosyncratic patterns. Multiple AI markers present: pedagogical structure with trivial Node class, demonstration scaffolding with if __name__ == '__main__': block and 'Example usage'-style insertion loop, placeholder-flavored variable names ('n', 'key'), and exhaustive docstring-less uniformity across all methods."
18,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints detected: code is stylistically uniform, contains pedagogical docstring-adjacent comments, uniform type hints applied consistently, and includes demonstration scaffolding with if __name__ == '__main__' around trivial test cases. The placeholder-flavored variable names (addr, port, s) and defensive try/except structure reinforce AI generation."
19,Python,ai,claude-haiku,cot,ai,7,"No human fingerprints observed. The code exhibits AI markers: pedagogical structure (demonstrating float edge cases in tutorial fashion), exhaustive edge-case coverage (inf, -inf, -0, nan, and their arithmetic interactions), placeholder-style variable names (inf, nan, minus_inf), and demonstration scaffolding (print statements formatted as example output). The uniform style and absence of debugging artifacts, comments, or idiosyncratic habits are consistent with AI generation."
