id,language,true_label,model,strategy,prediction,confidence,explanation
0,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code uses Python 2 `print` syntax (`print ""...""`) instead of Python 3 function syntax (`print(...)`), which is a distinctive language idiom indicative of human authorship from a specific development era."
1,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"No human fingerprints were found; the code is structurally clean, uses generic placeholder names ('a', 'n', 'Foo'), and lacks any idiosyncratic elements or authorship residue."
2,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The snippet contains a clear mix of Python and Ruby syntax (Python function definition with Ruby iteration), an idiosyncratic human characteristic. It also includes a semantic error (calling `.replace()` on a list type) common in human-written code due to type misunderstandings."
3,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"No human fingerprints such as stylistic inconsistencies, comments indicating authorship/versioning, or experimental code were found. The snippet is a clean, canonical implementation of a common problem, consistent with AI generation."
4,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code uses Python 2 `print` syntax (`print stem, ""|"", sorted(leaves)`) which is a strong human fingerprint of code written in an older language version. Additionally, there are unused imports (`itertools`, `operator`, `pprint`), indicating residue from authorship."
5,Python,ai,gemini-2.5-flash,zero_shot,ai,8,"No distinctive human fingerprints were found. The code exhibits 'demonstration scaffolding' with explicit print statements to showcase input and output, which is a common characteristic of AI-generated examples."
6,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code exhibits a strong human fingerprint through its idiosyncratic and inconsistent style, specifically mixing Java class structure and main method definition with Python file I/O functions (`open`, `read`, `write`), exception handling (`try:`, `except IOError:`), and print statements within the same snippet."
7,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code contains idiosyncratic use of U+00A0 NO-BREAK SPACE characters within string literals (e.g., 'Partitioned %5d with %2d prime%s: '), a highly unusual and specific artifact unlikely to be generated by AI."
8,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"No human fingerprints were found. The code exhibits an AI fingerprint through its clear 'Demonstration scaffolding' using an `if __name__ == ""__main__"":` block with a structured `tests` list and formatted example output."
9,Python,ai,gemini-2.5-flash,zero_shot,human,7,"The code uses 'str' as a variable name, shadowing the built-in 'str' type, which is a common human idiosyncrasy or shortcut, especially in quick scripts, rather than structurally clean AI-generated code."
10,Python,ai,gemini-2.5-flash,zero_shot,ai,8,"The code lacks strong human fingerprints, exhibiting structural cleanliness and stylistic uniformity. It includes prominent AI fingerprints in the form of demonstration scaffolding ('Example usage:' blocks with `board1`, `board2` and immediate instantiation)."
11,Python,ai,gemini-2.5-flash,zero_shot,human,6,"The comment '// first 22 values (as a list) has no squares:' contains a minor grammatical error ('values has' instead of 'values have'), which is a human fingerprint indicating a typo or colloquialism."
12,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code exhibits idiosyncratic style, specifically lowercase class names ('cell', 'spec') and mixed naming conventions ('newSpec' using camelCase for a function, 'less', 'column', 'reverse' using snake_case for attributes), which deviates from standard Python style (PEP 8)."
13,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The in-place modification `if i == 0: gifts[0] = ""And a partridge in a pear tree""` is an idiosyncratic and pragmatic fix to handle a specific lyrical nuance, typical of a human iteratively developing and patching code."
14,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The use of `4 * math.atan(1)` instead of the standard `math.pi` is an idiosyncratic expression, suggesting a human author making a deliberate or habitual mathematical choice."
15,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code contains a dated annotation `#, July 2nd, 2015`, a magic number `M = 30` without explanation, and uses older Python idioms like `time.clock()` and old-style string formatting (`%d`), all strong human fingerprints."
16,Python,ai,gemini-2.5-flash,zero_shot,human,7,"The print statement contains a non-breaking space (U+00A0) instead of a standard space between the two `%d` format specifiers, which is an idiosyncratic detail often indicative of human editing or copy-paste artifacts."
17,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code contains non-breaking space characters ( ) on blank lines, indicating idiosyncratic formatting or a copy-paste artifact common in human-authored code rather than AI-generated output."
18,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The `from_str` method's `s.split("":"")` logic will fail to correctly parse IPv6 addresses with ports enclosed in square brackets (e.g., `[::1]:80`), despite such examples being included in the demonstration block, indicating an oversight characteristic of human-written code."
19,Python,ai,gemini-2.5-flash,zero_shot,ai,8,"The entire code snippet functions as a clear demonstration or 'example usage' block for floating-point special values, which is a strong AI fingerprint. No human fingerprints like idiosyncratic style, experimental code, or informal comments were found."
20,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code uses specific 'magic numbers' (e.g., `2, 7, 2`, `1, 8`, `12`) for the problem constraints without explanation, and features a distinctive, non-default manual formatting choice with excessive spacing in the f-string for visual alignment."
21,Python,ai,gemini-2.5-flash,zero_shot,ai,8,"No human fingerprints were found. The comments like '# Enqueue.', '# Dequeue.', and '# 42' are pedagogical, explicitly restating what the lines do or the expected output, which is a clear AI fingerprint."
22,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code uses Python 2 specific features, namely the `urllib2` module and the `print` statement syntax, which are strong indicators of human authorship from an older era rather than modern AI-generated code."
23,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code exhibits several human fingerprints, notably the idiosyncratic in-line assignment `tbl.append(tr = ce('tr'))` and the highly specific CSS unit `.4ex` for padding, which indicates a human's detailed knowledge and preference beyond common defaults."
24,Python,ai,gemini-2.5-flash,zero_shot,ai,8,"No human fingerprints were found. The code exhibits clear AI fingerprints, specifically demonstration scaffolding through the `test` function and its example usage calls, along with a structurally clean and uniform style."
25,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"No distinctive human fingerprints were found; the code is structurally clean, stylistically uniform, and free of the typical 'residue of authorship' like commented-out code or idiosyncratic comments."
26,Python,ai,gemini-2.5-flash,zero_shot,human,7,"The informal, terse comments labeling output sections (e.g., '# sine') and the comparative nature of the `print` statements, demonstrating equivalent calculations from radians and degrees, suggest a human's explorative or verification session rather than a clean, pedagogical AI output."
27,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code includes a version annotation '# version 1.1.2', which is a clear human fingerprint indicating authorship and development history."
28,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code contains a non-breaking space character (U+00A0) on line 2 after 'import re', which is a strong idiosyncratic style fingerprint of human-authored code or editor quirks. Additionally, the 'print' statements (`Minimum size: {}`, `print(abbr)`, `print()`) appear to be leftover debug prints, indicating human development and testing."
29,Python,ai,gemini-2.5-flash,zero_shot,human,8,The code contains a colloquial and user-facing message 'print('Be patient. This takes about 10 seconds to render.')' which anticipates user experience and is characteristic of human authorship. The use of Processing.py specific functions and potentially hand-tuned 'magic numbers' like 48 and 2_560 also suggest human involvement.
30,Python,ai,gemini-2.5-flash,zero_shot,ai,7,No human fingerprints were found. The presence of 'Demonstration scaffolding' in the form of explicit example usage print statements reinforces the AI classification.
31,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The comment 'A truncated Fisher-Yates shuffle' indicates specific algorithmic knowledge and intentional modification, which is a distinctive human fingerprint."
32,Python,ai,gemini-2.5-flash,zero_shot,ai,6,"No human fingerprints such as experimental code, specific annotations, or idiosyncratic style were found. The code is extremely minimal and clean, consistent with AI-generated content lacking the 'residue of authorship'."
33,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code exhibits an idiosyncratic style by using non-breaking space characters (\xa0) for blank lines, which is a strong human fingerprint typically resulting from editor interaction or copy-paste artifacts."
34,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"The code is structurally clean and stylistically uniform, lacking any human fingerprints such as idiosyncratic style, experimental code, personal annotations, or comments. The three print statements serve as a minimal 'example usage' block, consistent with AI-generated demonstration scaffolding."
35,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code contains a hardcoded local path (`/dev/dsp`) and a magic number without explanation (`65536`), which are clear human fingerprints reflecting specific context or arbitrary choices."
36,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"The code is structurally clean, stylistically uniform, and entirely devoid of any human fingerprints such as comments, stylistic quirks, or debugging residue. It represents a minimal, 'featureless default' example often generated by AI."
37,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The explicit 'return self' at the end of the `__init__` method is un-Pythonic and redundant, indicating an idiosyncratic habit or misunderstanding of Python's class constructors, a clear human fingerprint."
38,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"No human fingerprints were found. The code is structurally clean, stylistically uniform, uses generic variable names, and lacks any idiosyncratic elements characteristic of human authorship."
39,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code contains multiple clear human fingerprints, including C-style ternary operators (e.g., `q1? ""Yes."" : ""No.""`) and an incorrect `.join()` method call (`q2matches.join(', ')`), indicating a mix of language knowledge and common human coding errors."
40,Python,ai,gemini-2.5-flash,zero_shot,human,9,"The code exhibits several human fingerprints, including inconsistent naming style (mixed camelCase for parameters like `URL` and snake_case for local variables and some function names like `prettify`), and a non-ASCII space character (`U+00A0`) in the 'Usage' print statement, which is a common copy-paste artifact."
41,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"No human fingerprints were found. The code is structurally clean and demonstrates the output with clear, pedagogical labels, which is a mild AI characteristic."
42,Python,ai,gemini-2.5-flash,zero_shot,human,8,"The code uses a magic number (3) for matrix dimensions throughout the class definition, rather than making the Matrix class generic, which is a common human fingerprint indicating a specific, non-general implementation."
43,Python,ai,gemini-2.5-flash,zero_shot,ai,7,"No human fingerprints (such as comments, style inconsistencies, or debugging artifacts) were found. The code is exceptionally clean, simple, and lacks any discernible authorship traits, aligning with the default 'ai' classification."
