id,language,true_label,model,strategy,prediction,confidence,explanation
0,Python,ai,claude-haiku,zero_shot,human,7,"The code uses Python 2 print statements (without parentheses), which is a dated but deliberate choice suggesting actual historical code rather than AI generation. The simplistic, task-focused implementation with minimal structure and no defensive patterns reflects the idiosyncratic shortcuts of a working developer rather than the uniform pedagogical style of AI-generated code."
1,Python,ai,claude-haiku,zero_shot,ai,6,"No distinctive human fingerprints detected: no comments, version markers, idiosyncratic style inconsistencies, debug artifacts, or personal idioms. The code is structurally clean and generic. While not strongly AI-marked, the absence of human residue and use of placeholder-style variable names ('a', 'i', 'n') suggests AI generation."
2,Python,ai,claude-haiku,zero_shot,human,7,"The code exhibits mixed language usage (Python function definition followed by Ruby iteration syntax), which is a distinctive idiosyncratic artifact. Additionally, the string construction method in sierpinski_carpet uses ad-hoc list concatenation with manual line breaks rather than a cleaner algorithmic approach, suggesting iterative development and testing rather than clean generation."
3,Python,ai,claude-haiku,zero_shot,ai,6,"The code is structurally clean, stylistically uniform, and exhibits no human fingerprints such as comments, version annotations, idiosyncratic naming, or debugging artifacts. It is the canonical FizzBuzz implementation—a common AI demonstration task—with no distinctive authorial residue."
4,Python,ai,claude-haiku,zero_shot,human,8,"Multiple human fingerprints are present: Python 2 syntax (print statement without parentheses, integer division with `/`), which reflects an older codebase or outdated practice; hardcoded test data embedded directly in the script without explanation; and a stem-and-leaf plot implementation that shows idiosyncratic choices (e.g., manually filling gaps in the defaultdict rather than using a cleaner approach). The code lacks pedagogical comments, uniform docstrings, or defensive structures typical of AI generation."
5,Python,ai,claude-haiku,zero_shot,ai,7,"The code exhibits multiple AI fingerprints: pedagogical structure with print statements explicitly labeling each output (""A:"", ""Q:"", ""R:""), demonstration scaffolding showing example usage of scipy.linalg.qr with a hardcoded matrix, and consistent placeholder-flavored variable names (A, Q, R). No human fingerprints are present—no comments, debug artifacts, idiosyncratic style, or evidence of iterative authorship."
6,Python,ai,claude-haiku,zero_shot,ai,6,"The code exhibits pedagogical structure (try/except wrapping basic I/O) and demonstrates basic file operations—classic AI scaffolding. However, the syntax errors (Python-style colons and open() mixed with Java class structure) are unusual enough to create ambiguity about whether this is deliberate obfuscation or poor generation. No clear human fingerprints (dated comments, debug artifacts, idiosyncratic style consistency) are present; the inconsistencies appear accidental rather than authored."
7,Python,ai,claude-haiku,zero_shot,human,7,"The code exhibits several human fingerprints: inconsistent variable naming (primes list vs. c array for sieve state), a global variable (primes) modified in main and referenced in nested functions without proper scoping, and a logic bug where found_combo is checked but never set to True in the recursive function (the assignment at the end of find_combo is unreachable due to the conditional structure). These patterns—global state mismanagement, unreachable code, and ad-hoc variable naming—are characteristic of iterative human development rather than clean AI generation."
8,Python,ai,claude-haiku,zero_shot,ai,7,"The code exhibits multiple AI fingerprints: pedagogical structure with a demonstration block under `if __name__ == ""__main__"":`, generic placeholder-style test data (hardcoded IP addresses with no context), uniformly clean style, and defensive use of the standard library without any traces of iterative debugging or personal idiom. No human fingerprints—such as comments, version notes, inconsistent style, or colloquial language—are present."
9,Python,ai,claude-haiku,zero_shot,human,7,"The variable name 'str' is a deprecated built-in shadowing (a common mistake in older Python code or quick scripts), and the redundant double call to 'ls' without storing intermediate results suggests exploratory/interactive code rather than polished production code. These are characteristic human debugging artifacts."
